word/phrase,pronounce,meaning,sentence,translation,link
breeze,"| BrE briːz, AmE briz |",微风,A gentle breeze blew over the garden. ,一阵轻柔的微风拂过花园。,
breeze,"| BrE briːz, AmE briz |",轻而易举的事,It's a breeze,这事易如反掌,
chill,"| BrE tʃɪl, AmE tʃɪl |",淡定的,He is a chill person.,他是个随和/淡定的人。,
chill,"| BrE tʃɪl, AmE tʃɪl |",冰镇,I’ll put the beer in the fridge to chill. ,我会把啤酒放进冰箱冰一下,
chill,"| BrE tʃɪl, AmE tʃɪl |",寒意,There is a chill in the air this morning.,今天早上空气中有一丝寒意。,
chill,"| BrE tʃɪl, AmE tʃɪl |",着凉,"Dress warm if you are going out, You could catch a chill.",如果出门就穿暖和点，你可能会着凉,
chill,"| BrE tʃɪl, AmE tʃɪl |",放松,I’m going to chill with my friends tonight.,今晚我要和朋友一起放松/闲逛。,
chill,"| BrE tʃɪl, AmE tʃɪl |",冷静,"Don’t get angry, just chill down.",别生气，冷静一下。,
A party of,,一行,A party of four is waiting for their table at the restaurant.,一行四人正在餐厅等位。,
A party of,,一支,A party of hikers got lost in the mountains.,一支登山队在山里迷了路。,
a pair of ,,,I need to buy a pair of new running shoes.,我需要买一双新跑鞋。,
a pair of ,,,A pair of white shoes is on the floor.,地板上放着一双白鞋。,
a pair of ,,,She put on a pair of sunglasses and walked out.,她戴上一副太阳镜走了出去。,
a pair of ,,,Could you pass me a pair of scissors?,你能递给我一把剪刀吗？,
On the side,,秘密的,Rumour has it that her sister has affairs on the side.,据传，她姐姐/妹妹有秘密地情人。,
On the side,,配菜,What would you like on the side?,你想要什么配菜？,
slender,"| BrE ˈslɛndə, AmE ˈslɛndər |",细长的,"When the wind blows, the slender tree bends but never breaks. ",起风时，细长的树常被吹弯但决不会被吹断。,
slender,"| BrE ˈslɛndə, AmE ˈslɛndər |",苗条的,Film actress Zhang Ziyi is a slender woman. ,电影演员章子怡身材苗条。,
Symbolize,"| BrE ˈsɪmbəlʌɪz, AmE ˈsɪmbəˌlaɪz |",,What does the Snake symbolize？,蛇有什么象征寓意？,
stand up for,,,Don’t be afraid to stand up for your rights. ,不要害怕站出来维护自己的权利。,https://www.bilibili.com/video/BV1mDrzYiE3T/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
stand up for,,,A soldier must stand up to the danger. ,士兵必须敢于面对危险。,
principle,"| BrE ˈprɪnsɪpl, AmE ˈprɪnsəp(ə)l |",,She was a woman of principle.,她是一个有原则的女人。,https://www.bilibili.com/video/BV1iZ4y1b7Gq/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
principle,"| BrE ˈprɪnsɪpl, AmE ˈprɪnsəp(ə)l |",,We adhere to the principle that everyone should be treated fairly. ,我们恪守人人都应受到公平对待的原则。,
authorized,"| BrE ˈɔːθərʌɪz, AmE ˈɔθəˌraɪz |",,I authorized my bank to pay her $1000.,我委托银行支付她1000美元。,
devotion,"| BrE dɪˈvəʊʃn, AmE dəˈvoʊʃən | ",,At first she was flattered by his devotion.,他的爱慕让她感到荣幸。,
devotion,"| BrE dɪˈvəʊʃn, AmE dəˈvoʊʃən | ",,He was kneeling by his bed in an attitude of devotion.,他虔诚地跪在床边。,
devotion,"| BrE dɪˈvəʊʃn, AmE dəˈvoʊʃən | ",,He demonstrated unwavering devotion to the cause of the people and to socialism throughout his life.,他一生都表现出对人民事业和社会主义事业的坚定忠诚。,
courageous,"| BrE kəˈreɪdʒəs, AmE kəˈreɪdʒəs |",,It was a very frightening experience and they were very courageous.,那是一次让人胆战心惊的经历，而他们表现得非常勇敢。,
forge,"| BrE fɔːdʒ, AmE fɔrdʒ |",,The Prime Minister is determined to forge a good relationship with America's new leader.,首相决心与美国的新领导人建立良好的关系。,
forge,"| BrE fɔːdʒ, AmE fɔrdʒ |",,The project will help people forge new careers. ,这项计划会帮助大众开始新的职业。,
forge,"| BrE fɔːdʒ, AmE fɔrdʒ |",,He admitted seven charges including forging passports.,他承认了7项罪名，其中包括伪造护照。,
forge,"| BrE fɔːdʒ, AmE fɔrdʒ |",,"The two companies forged ahead, innovating and expanding. ",两家公司加快发展，改革创新，不断扩张。,
intent on,,,Janet seems intent on  total independence from her family.,珍妮特似乎执意要完全脱离家庭、独立生活。,
intent on,,,She was intent on forging a new career for herself as a singer.,她决心开创一条属于自己的歌手之路。,
Religious,"| BrE rɪˈlɪdʒəs, AmE rəˈlɪdʒəs |",,She disowned her religious belief.,她放弃了自己的宗教信仰。,
flee,"| BrE fliː, AmE fli |",,The family fled from Nazi Germany to Britain in 1936.,这家人于1936年从纳粹德国逃到英国。,
flee,"| BrE fliː, AmE fli |",,He was forced to flee the country.,他被迫逃离这个国家。,
shelter,"| BrE ˈʃɛltə, AmE ˈʃɛltər |",,"food, clothing, shelter, and transportation",衣食住行,
shelter,"| BrE ˈʃɛltə, AmE ˈʃɛltər |",,"People in the city are struggling to afford food, clothing, shelter, and transportation.",城市里的人正在为负担衣食住行而挣扎。,
converge,"| BrE kənˈvəːdʒ, AmE kənˈvərdʒ |",,There was a signpost where the two paths converged.,两条小路的相交处有一路标。,
come,,,•come on to someone,引诱某人,https://www.bilibili.com/video/BV1Q94y1c7kL/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
come,,,"I didn't study all semester, and now finals are here. My chickens are coming home to roost.",我整个学期都没学习，现在期末考试来了。报应到了。,https://www.bilibili.com/video/BV1qB4y1g7MU/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
log,"| BrE lɒɡ, AmE lɔɡ, lɑɡ |",原木,sleep like a log ,睡的超级香,
log,"| BrE lɒɡ, AmE lɔɡ, lɑɡ |",日志 ,The captain kept a log of the ship's journey.,船长记录了船舶的航行日志,
Stripe,"| BrE strʌɪp, AmE straɪp |",条纹 ,A zebra is an African wild horse which has black and white stripes. ,斑马是一种非洲野马，身上有黑白相间的条纹。,
Stripe,"| BrE strʌɪp, AmE straɪp |",臂章,He earned his stripes as a teacher before becoming principal.,他在当上校长之前，凭教学成绩赢得了资历（或：证明了自己的能力）。,
transport," | BrE ˈtrɑːnspɔːt, AmE ˈtræn(t)sˌpɔrt |",运输,A bus transported us from the airport to the city. ,公共汽车把我们从机场送到城市。,
disguise,"| BrE dɪsˈɡʌɪz, AmE dəˈskaɪz, dɪsˈɡaɪz |",伪装,It's a blessing in disguise,因祸得福 / 塞翁失马,https://www.bilibili.com/video/BV1FM4y1c7gu/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
abolish,"| BrE əˈbɒlɪʃ, AmE əˈbɑlɪʃ |",废除 ,Bad customs should be abolished.,坏的风俗应当废除,
refuge,"| BrE ˈrɛfjuːdʒ, AmE ˈrɛfjudʒ |",避难所,They took refuge in a bomb shelter.,他们在防空洞中避难。,
refuge,"| BrE ˈrɛfjuːdʒ, AmE ˈrɛfjudʒ |",避难所,His home became a place of refuge for the believers. ,他的家成了信徒们的避难之处,
lot,,,His lot has been a hard one.,他这一生命运艰难。,
lot,,,a parking lot,停车场,
far,,,You will go far. ,你很有前途。,
far,,,You go too far. ,你过分了。,
lay,"| BrE leɪ, AmE leɪ | ",躺,He lay on his back. ,他仰躺着。,
lay,"| BrE leɪ, AmE leɪ | ",放,She laid her head on his shoulder. ,她把头靠（放置）在他的肩上。,
set off,,出发,He set off for New York at 8 o’clock. ,他八点动身去了纽约。,
set off,,引发爆炸,He set off fireworks last night. ,昨晚，他燃放了烟花。,
set off,,触发警报,Opening that door will set off an alarm. ,打开那道门会触发警报。,
set off,,造成特殊效果,That dress nicely sets off the blue of your eyes. ,那条裙子很好地衬托出了你的蓝眼睛。,
set off,,引发一连串事件,The news set off a stock market panic. ,这条新闻引发了股市恐慌。,
at risk ,,,Children who ride their bikes without helmets are at risk of injury.,不戴头盔骑自行车的孩子有受伤的风险。,
at risk ,,,Some animals are at risk of extinction.,有些动物面临灭绝的风险。,
at risk ,,,The child is at risk of falling into the river.,孩子有掉进河里的危险。,
eye,,,Turn a blind eye,视而不见,
eye,,,•Eyes on the road,专心开车/小心看路,https://www.bilibili.com/video/BV1Nh411n78Q/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
eye,,,"An eye for an eye, a tooth for a tooth.",以其人之道，还治其人之身,
pass for ,,,He speaks American English well enough to pass for an America. ,他美式英语说得很好，足以被当成一个美国人。,
Uncle Tom’s Cabin,,《汤姆叔叔的小屋》,,,https://www.bilibili.com/video/BV1cy2UYcETq/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
firmly,"| BrE ˈfəːmli, AmE ˈfərmli |",坚决地,,,https://www.bilibili.com/video/BV1Kv411v7no/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
historic,"| BrE hɪˈstɒrɪk, AmE hɪˈstɔrɪk | ",历史性的,,,https://www.bilibili.com/video/BV1Ew41197pq/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
Moses,,摩西,,,https://www.bilibili.com/video/BV1rJ4m137kH/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
it’s about time,,早该…/终于…,,,https://www.bilibili.com/video/BV1D44y1U7VA/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
exploit,"| BrE ˈɛksplɔɪt, AmE ˈɛkˌsplɔɪt |",英雄业绩;开发;剥削 ;利用,,,https://www.bilibili.com/video/BV1SL4y1u7Qm/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
unsung,"| BrE ʌnˈsʌŋ, AmE ˌənˈsəŋ |",默默无闻的,,,https://www.bilibili.com/video/BV1rxWDehEFC/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
knock,,,•Knock the door,砸门,https://www.bilibili.com/video/BV1EQ4y187VB/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
knock,,,•Knock it off,消停点,https://www.bilibili.com/video/BV1pK411s7RG/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
knock,,,Knock (on)  wood  ,好运,https://www.bilibili.com/video/BV1r34y1y761/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
iron,,,,,https://www.bilibili.com/video/BV1PL4y1z7He/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
slip,,,,,https://www.bilibili.com/video/BV1WV4y137ia/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
reward for,,,,,https://www.bilibili.com/video/BV1644y1B7SD/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
fugitive,,,,,https://www.bilibili.com/video/BV12B4y1q7vL/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
spot,,,,,https://www.bilibili.com/video/BV1kQ4y1X7L4/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
spread the news,,,,,https://www.bilibili.com/video/BV1DZ4y1r78v/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
leg,,,,,https://www.bilibili.com/video/BV1ff421X7u8/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
bid,,,,,https://www.bilibili.com/video/BV19JgRzWEXv/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
at once,,,,,https://www.bilibili.com/video/BV1bg4y1x7Bh/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
Magistrate,,,,,https://www.bilibili.com/video/BV18wqCBhETj/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
impose,,,,,https://www.bilibili.com/video/BV1HL411A7ZZ/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
make the best of ,,,,,https://www.bilibili.com/video/BV1E64y1C7uU/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
diligently,,,Henson worked diligently and rose far in his owner's regard.,亨森勤勤恳恳，在主人心目中的地位与日俱增。,https://www.bilibili.com/video/BV1si4y127PB/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
compell,,,,,https://www.bilibili.com/video/BV1eF411H7wD/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
alarm,,,false alarm,虚惊一场,https://www.bilibili.com/video/BV13V4y1W7a5/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
colonel,,上校,,,https://www.bilibili.com/video/BV1zZ42147Zz/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2